 ,Label,Area,Mean,Min,Max,X,Y,Slice
1,Snapshots qualité:20140812_175937_b14c_00408ca694a0_c,0,122,122,122,1460.756,505.293,65
2,Snapshots qualité:20140813_175934_b090_00408ca694a0_c,0,206,206,206,799.282,801.323,69
3,Snapshots qualité:20140813_235933_89a2_00408ca694a0_c,0,174,174,174,889.112,754.367,70
4,Snapshots qualité:20140813_235933_89a2_00408ca694a0_c,0,123,123,123,1128.998,678.828,70
5,Snapshots qualité:20140813_235933_89a2_00408ca694a0_c,0,168,168,168,1228.015,387.902,70
6,Snapshots qualité:20140814_055932_9303_00408ca694a0_c,0,214,214,214,931.985,726.805,71
7,Snapshots qualité:20140814_055932_9303_00408ca694a0_c,0,215,215,215,710.473,1035.085,71
8,Snapshots qualité:20140814_115931_966d_00408ca694a0_c,0,177,177,177,897.278,516.522,72
9,Snapshots qualité:20140814_175931_9cf9_00408ca694a0_c,0,213,213,213,962.609,791.115,73
10,Snapshots qualité:20140814_175931_9cf9_00408ca694a0_c,0,133,133,133,1011.607,893.195,73
11,Snapshots qualité:20140814_175931_9cf9_00408ca694a0_c,0,158,158,158,934.026,351.153,73
12,Snapshots qualité:20140814_175931_9cf9_00408ca694a0_c,0,152,152,152,903.403,629.830,73
13,Snapshots qualité:20140814_235930_89a2_00408ca694a0_c,0,155,155,155,876.862,582.873,74
14,Snapshots qualité:20140815_055930_b546_00408ca694a0_c,0,214,214,214,792.136,771.720,75
15,Snapshots qualité:20140815_055930_b546_00408ca694a0_c,0,177,177,177,926.881,739.055,75
16,Snapshots qualité:20140815_115928_ace2_00408ca694a0_c,0,203,203,203,1101.437,852.363,76
17,Snapshots qualité:20140815_115928_ace2_00408ca694a0_c,0,80,80,80,1084.083,486.919,76
18,Snapshots qualité:20140815_175927_93df_00408ca694a0_c,0,233,233,233,1007.524,597.164,77
19,Snapshots qualité:20140815_175927_93df_00408ca694a0_c,0,187,187,187,891.153,480.794,77
20,Snapshots qualité:20140815_235926_9520_00408ca694a0_c,0,189,189,189,1006.503,869.716,78
21,Snapshots qualité:20140816_055926_8c7f_00408ca694a0_c,0,184,184,184,1128.998,699.244,79
22,Snapshots qualité:20140816_175925_a429_00408ca694a0_c,0,155,155,155,1002.420,896.257,81
23,Snapshots qualité:20140816_235923_b8e9_00408ca694a0_c,0,195,195,195,1041.210,592.060,82
